90.48 km | Áll délre | 0.1 csomó | 07.24 - 22:17
90.48 km | Áll délre | 0.1 csomó | 07.24 - 22:20
90.48 km | Áll délre | 0.0 csomó | 07.24 - 22:24
90.48 km | Áll délre | 0.1 csomó | 07.24 - 22:41
90.48 km | Áll délre | 0.1 csomó | 07.24 - 22:46
90.48 km | Áll délre | 0.1 csomó | 07.24 - 22:47
90.48 km | Áll délre | 0.1 csomó | 07.24 - 22:52
90.48 km | Áll délre | 0.1 csomó | 07.24 - 22:54
90.48 km | Áll délre | 0.1 csomó | 07.24 - 22:57
90.48 km | Áll délre | 0.1 csomó | 07.24 - 23:09
90.48 km | Áll délre | 0.0 csomó | 07.24 - 23:19
90.48 km | Áll délre | 0.1 csomó | 07.24 - 23:21
90.48 km | Áll délre | 0.0 csomó | 07.24 - 23:44
