94.63 km | észak felé halad | 0.5 csomó | 07.24 - 22:17
94.58 km | Áll délre | 0.2 csomó | 07.24 - 22:38
94.53 km | észak felé halad | 1.1 csomó | 07.24 - 22:42
94.34 km | észak felé halad | 3.2 csomó | 07.24 - 22:48
94.28 km | észak felé halad | 3.8 csomó | 07.24 - 22:49
94.12 km | észak felé halad | 6.7 csomó | 07.24 - 22:58
94.1 km | észak felé halad | 7.1 csomó | 07.24 - 23:00
94.08 km | észak felé halad | 6.9 csomó | 07.24 - 23:02
94.02 km | észak felé halad | 6.2 csomó | 07.24 - 23:04
93.92 km | észak felé halad | 5.9 csomó | 07.24 - 23:05
91.7 km | dél felé halad | 4.3 csomó | 07.24 - 23:18
91.47 km | észak felé halad | 3.3 csomó | 07.24 - 23:20
90.89 km | észak felé halad | 1.2 csomó | 07.24 - 23:36
90.93 km | észak felé halad | 1.0 csomó | 07.24 - 23:38
90.95 km | észak felé halad | 1.2 csomó | 07.24 - 23:41
90.96 km | észak felé halad | 1.2 csomó | 07.24 - 23:42
90.98 km | észak felé halad | 0.8 csomó | 07.24 - 23:43
90.99 km | észak felé halad | 0.5 csomó | 07.24 - 23:44
