4680.9 km | észak felé halad | 33.1 csomó | 07.24 - 14:29
4660.88 km | észak felé halad | 32.2 csomó | 07.24 - 14:50
146.82 km | észak felé halad | 33.5 csomó | 07.24 - 22:53
145.4 km | észak felé halad | 33.4 csomó | 07.24 - 22:54
140.69 km | észak felé halad | 33.7 csomó | 07.24 - 22:59
135.66 km | észak felé halad | 33.0 csomó | 07.24 - 23:04
131.16 km | észak felé halad | 33.6 csomó | 07.24 - 23:08
119.99 km | észak felé halad | 33.8 csomó | 07.24 - 23:19
118.48 km | észak felé halad | 32.7 csomó | 07.24 - 23:21
104.19 km | észak felé halad | 34.1 csomó | 07.24 - 23:35
99.45 km | észak felé halad | 31.9 csomó | 07.24 - 23:40
98.44 km | észak felé halad | 32.4 csomó | 07.24 - 23:41
