425.37 km | dél felé halad | 16.7 csomó | 07.24 - 22:38
429.54 km | dél felé halad | 16.7 csomó | 07.24 - 22:46
430.18 km | dél felé halad | 16.7 csomó | 07.24 - 22:47
431.27 km | dél felé halad | 16.7 csomó | 07.24 - 22:49
434.89 km | dél felé halad | 16.9 csomó | 07.24 - 22:57
436.24 km | dél felé halad | 16.9 csomó | 07.24 - 22:59
437.55 km | dél felé halad | 16.9 csomó | 07.24 - 23:02
438.3 km | dél felé halad | 16.9 csomó | 07.24 - 23:03
439.01 km | dél felé halad | 16.8 csomó | 07.24 - 23:05
440.61 km | dél felé halad | 16.8 csomó | 07.24 - 23:08
446.7 km | dél felé halad | 16.8 csomó | 07.24 - 23:20
446.96 km | dél felé halad | 16.8 csomó | 07.24 - 23:21
455.98 km | dél felé halad | 16.8 csomó | 07.24 - 23:39
