4716.66 km | észak felé halad | 15.6 csomó | 07.24 - 13:12
4718.71 km | észak felé halad | 15.7 csomó | 07.24 - 14:18
277.85 km | észak felé halad | 15.0 csomó | 07.24 - 22:15
275.36 km | észak felé halad | 14.9 csomó | 07.24 - 22:21
274.95 km | észak felé halad | 14.9 csomó | 07.24 - 22:22
274.51 km | észak felé halad | 14.9 csomó | 07.24 - 22:23
268.31 km | észak felé halad | 14.7 csomó | 07.24 - 22:39
268.12 km | észak felé halad | 14.7 csomó | 07.24 - 22:39
265.18 km | észak felé halad | 14.6 csomó | 07.24 - 22:47
264.04 km | észak felé halad | 14.7 csomó | 07.24 - 22:50
262.61 km | észak felé halad | 15.1 csomó | 07.24 - 22:53
261.28 km | észak felé halad | 15.1 csomó | 07.24 - 22:57
259.87 km | észak felé halad | 15.1 csomó | 07.24 - 23:00
258.24 km | észak felé halad | 15.0 csomó | 07.24 - 23:05
256.44 km | észak felé halad | 15.2 csomó | 07.24 - 23:09
252.2 km | észak felé halad | 15.1 csomó | 07.24 - 23:20
243.63 km | észak felé halad | 15.2 csomó | 07.24 - 23:43
241.11 km | észak felé halad | 15.3 csomó | 07.24 - 23:49
240.59 km | észak felé halad | 15.3 csomó | 07.24 - 23:51
