4638.18 km | Áll délre | 0.0 csomó | 07.24 - 14:18
13.45 km | dél felé halad | 17.0 csomó | 07.24 - 22:18
15.07 km | dél felé halad | 16.9 csomó | 07.24 - 22:21
16.13 km | dél felé halad | 16.9 csomó | 07.24 - 22:23
23.52 km | dél felé halad | 16.9 csomó | 07.24 - 22:37
23.77 km | dél felé halad | 16.9 csomó | 07.24 - 22:38
24.03 km | dél felé halad | 16.9 csomó | 07.24 - 22:38
25.97 km | dél felé halad | 17.6 csomó | 07.24 - 22:50
26.13 km | dél felé halad | 17.6 csomó | 07.24 - 22:51
26.69 km | dél felé halad | 17.6 csomó | 07.24 - 22:54
28.53 km | dél felé halad | 17.1 csomó | 07.24 - 23:02
28.69 km | dél felé halad | 17.2 csomó | 07.24 - 23:02
29.29 km | dél felé halad | 17.2 csomó | 07.24 - 23:04
41.6 km | dél felé halad | 18.1 csomó | 07.24 - 23:38
44.15 km | dél felé halad | 17.9 csomó | 07.24 - 23:43
47.49 km | dél felé halad | 18.0 csomó | 07.24 - 23:50
