268.42 km | észak felé halad | 7.6 csomó | 07.24 - 22:23
263.83 km | észak felé halad | 7.9 csomó | 07.24 - 22:45
263.45 km | észak felé halad | 8.0 csomó | 07.24 - 22:47
263.21 km | észak felé halad | 8.0 csomó | 07.24 - 22:48
262.96 km | észak felé halad | 8.0 csomó | 07.24 - 22:49
262.61 km | észak felé halad | 7.8 csomó | 07.24 - 22:51
262.34 km | észak felé halad | 7.8 csomó | 07.24 - 22:52
262.11 km | észak felé halad | 7.9 csomó | 07.24 - 22:53
261.35 km | észak felé halad | 8.0 csomó | 07.24 - 22:57
260.97 km | észak felé halad | 8.0 csomó | 07.24 - 22:59
260.22 km | észak felé halad | 8.1 csomó | 07.24 - 23:02
259.08 km | észak felé halad | 7.8 csomó | 07.24 - 23:08
256.73 km | észak felé halad | 7.9 csomó | 07.24 - 23:19
256.49 km | észak felé halad | 7.9 csomó | 07.24 - 23:21
