402.62 km | észak felé halad | 11.4 csomó | 07.24 - 22:19
396.67 km | észak felé halad | 11.3 csomó | 07.24 - 22:38
395.13 km | észak felé halad | 10.9 csomó | 07.24 - 22:43
394.12 km | észak felé halad | 10.5 csomó | 07.24 - 22:46
393.4 km | észak felé halad | 10.8 csomó | 07.24 - 22:48
392.81 km | észak felé halad | 10.9 csomó | 07.24 - 22:50
392.45 km | észak felé halad | 11.0 csomó | 07.24 - 22:52
390.54 km | észak felé halad | 11.4 csomó | 07.24 - 22:58
389.89 km | észak felé halad | 10.9 csomó | 07.24 - 23:00
389.11 km | észak felé halad | 10.7 csomó | 07.24 - 23:03
388.34 km | észak felé halad | 11.6 csomó | 07.24 - 23:05
378.14 km | észak felé halad | 11.1 csomó | 07.24 - 23:38
377.63 km | észak felé halad | 11.3 csomó | 07.24 - 23:40
377.32 km | észak felé halad | 11.4 csomó | 07.24 - 23:41
