187.33 km | dél felé halad | 10.4 csomó | 07.24 - 22:20
187.84 km | dél felé halad | 10.4 csomó | 07.24 - 22:22
192.68 km | dél felé halad | 10.4 csomó | 07.24 - 22:43
193.31 km | dél felé halad | 10.4 csomó | 07.24 - 22:45
193.59 km | dél felé halad | 10.5 csomó | 07.24 - 22:46
194.86 km | dél felé halad | 10.5 csomó | 07.24 - 22:52
196.16 km | dél felé halad | 10.4 csomó | 07.24 - 22:57
197.02 km | dél felé halad | 10.4 csomó | 07.24 - 23:01
197.29 km | dél felé halad | 10.4 csomó | 07.24 - 23:02
205.31 km | dél felé halad | 10.3 csomó | 07.24 - 23:36
206.11 km | dél felé halad | 10.3 csomó | 07.24 - 23:39
206.36 km | dél felé halad | 10.3 csomó | 07.24 - 23:40
206.66 km | dél felé halad | 10.4 csomó | 07.24 - 23:41
208.64 km | dél felé halad | 10.4 csomó | 07.24 - 23:49
