4729.85 km | észak felé halad | 16.9 csomó | 07.24 - 14:50
486.1 km | észak felé halad | 17.1 csomó | 07.24 - 22:37
485.38 km | észak felé halad | 17.1 csomó | 07.24 - 22:38
481.99 km | észak felé halad | 16.9 csomó | 07.24 - 22:45
480.2 km | észak felé halad | 16.9 csomó | 07.24 - 22:49
477.51 km | észak felé halad | 16.8 csomó | 07.24 - 22:54
475.41 km | észak felé halad | 16.8 csomó | 07.24 - 22:58
472.18 km | észak felé halad | 16.8 csomó | 07.24 - 23:05
470.07 km | észak felé halad | 17.0 csomó | 07.24 - 23:09
465.32 km | észak felé halad | 16.7 csomó | 07.24 - 23:18
464.81 km | észak felé halad | 16.7 csomó | 07.24 - 23:19
463.69 km | észak felé halad | 16.7 csomó | 07.24 - 23:22
455.62 km | észak felé halad | 16.9 csomó | 07.24 - 23:37
455.11 km | észak felé halad | 16.9 csomó | 07.24 - 23:38
454.33 km | észak felé halad | 17.0 csomó | 07.24 - 23:40
452.66 km | észak felé halad | 17.0 csomó | 07.24 - 23:43
452.1 km | észak felé halad | 17.0 csomó | 07.24 - 23:44
449.45 km | észak felé halad | 17.0 csomó | 07.24 - 23:49
