4636.8 km | Áll délre | 0.0 csomó | 07.24 - 14:19
4636.8 km | Áll délre | 0.0 csomó | 07.24 - 14:22
0.5 km | Áll délre | 0.0 csomó | 07.24 - 22:19
0.5 km | Áll délre | 0.0 csomó | 07.24 - 22:21
0.49 km | Áll délre | 0.1 csomó | 07.24 - 22:39
0.5 km | Áll délre | 0.0 csomó | 07.24 - 22:44
0.5 km | Áll délre | 0.0 csomó | 07.24 - 22:45
0.5 km | Áll délre | 0.0 csomó | 07.24 - 22:47
0.5 km | Áll délre | 0.0 csomó | 07.24 - 22:48
0.5 km | Áll délre | 0.1 csomó | 07.24 - 22:50
0.5 km | Áll délre | 0.1 csomó | 07.24 - 22:57
0.5 km | Áll délre | 0.0 csomó | 07.24 - 23:00
0.5 km | Áll délre | 0.1 csomó | 07.24 - 23:01
0.5 km | Áll délre | 0.1 csomó | 07.24 - 23:02
0.5 km | Áll délre | 0.0 csomó | 07.24 - 23:03
0.5 km | Áll délre | 0.1 csomó | 07.24 - 23:03
0.5 km | Áll délre | 0.1 csomó | 07.24 - 23:05
0.5 km | Áll délre | 0.0 csomó | 07.24 - 23:07
0.5 km | Áll délre | 0.0 csomó | 07.24 - 23:09
0.5 km | Áll délre | 0.0 csomó | 07.24 - 23:09
0.5 km | Áll délre | 0.0 csomó | 07.24 - 23:18
0.5 km | Áll délre | 0.0 csomó | 07.24 - 23:19
0.5 km | Áll délre | 0.1 csomó | 07.24 - 23:40
0.5 km | Áll délre | 0.1 csomó | 07.24 - 23:42
0.5 km | Áll délre | 0.0 csomó | 07.24 - 23:51
