7.13 km | dél felé halad | 33.9 csomó | 07.24 - 22:24
20.49 km | dél felé halad | 33.1 csomó | 07.24 - 22:37
25.15 km | dél felé halad | 33.0 csomó | 07.24 - 22:42
27.68 km | dél felé halad | 32.9 csomó | 07.24 - 22:44
28.73 km | dél felé halad | 32.3 csomó | 07.24 - 22:45
29.73 km | dél felé halad | 31.8 csomó | 07.24 - 22:46
31.25 km | dél felé halad | 32.0 csomó | 07.24 - 22:48
35.18 km | dél felé halad | 32.8 csomó | 07.24 - 22:52
40.38 km | dél felé halad | 33.2 csomó | 07.24 - 22:57
43.54 km | dél felé halad | 32.9 csomó | 07.24 - 23:00
45.54 km | dél felé halad | 32.7 csomó | 07.24 - 23:02
47.73 km | dél felé halad | 32.7 csomó | 07.24 - 23:04
49.05 km | dél felé halad | 32.4 csomó | 07.24 - 23:06
50.06 km | dél felé halad | 32.7 csomó | 07.24 - 23:07
80.3 km | dél felé halad | 34.0 csomó | 07.24 - 23:36
81.91 km | dél felé halad | 33.2 csomó | 07.24 - 23:38
82.94 km | dél felé halad | 33.2 csomó | 07.24 - 23:39
86.14 km | dél felé halad | 34.0 csomó | 07.24 - 23:42
90.43 km | dél felé halad | 15.1 csomó | 07.24 - 23:50
